Characters,Meaning,Pronunciation
加以,"in addition; moreover; (used before a disyllabic verb to indicate that the action of the verb is applied to sth or sb previously mentioned); to apply (restrictions etc) to (sb); to give (support, consideration etc) to (sth)",jiāyǐ
回归,to return to; to retreat; regression (statistics),huíguī
啊啊,N/A,N/A
转化,to change; to transform; isomerization (chemistry),zhuǎnhuà
工程师,engineer,gōngchéngshī
埃及,Egypt,āijí
聊天,to chat; to gossip,liáotiān
街头,street,jiētóu
论文,paper; treatise; thesis; to discuss a paper or thesis (old),lùnwén
服装,dress; clothing; costume; clothes,fúzhuāng
天使,angel,tiānshǐ
外交部,Ministry of Foreign Affairs; foreign office; Dept. of State,wàijiāobù
顾客,client; customer,gùkè
检测,to detect; to test; detection; sensing,jiǎncè
公正,just; fair; equitable,gōngzhèng
言论,expression of opinion; views; remarks; arguments,yánlùn
导弹,guided missile; cruise missile; missile,dǎodàn
种子,seed,zhǒngzi
反抗,to resist; to rebel,fǎnkàng
近期,near in time; in the near future; very soon; recent,jìnqī
却是,nevertheless; actually; the fact is ...,quèshì
引用,to quote; to cite; to recommend; to appoint; (computing) reference,yǐnyòng
义务,duty; obligation; volunteer (work etc),yìwù
只不过,only; merely; nothing but; no more than; it's just that ...,zhǐbuguò
覆盖,to cover,fùgài
引导,to guide; to lead (around); to conduct; to boot; introduction; primer,yǐndǎo
荣誉,honor; credit; glory; (honorable) reputation; honorary,róngyù
抵达,to arrive; to reach (a destination),dǐdá
两岸,bilateral; both shores; both sides; both coasts; Taiwan and mainland,liǎngàn
最初,first; primary; initial; original; at first; initially; originally,zuìchū
陆续,in turn; successively; one after the other; bit by bit,lùxù
扩张,expansion; dilation; to expand (e.g. one's power or influence); to broaden,kuòzhāng
预防,to prevent; to take precautions against; to protect; to guard against; precautionary; prophylactic,yùfáng
场所,location; place,chǎngsuǒ
谁知道,God knows...; Who would have imagined...?,shéizhīdào
早期,early period; early phase; early stage,zǎoqī
客观,objective; impartial,kèguān
损害,harm; to damage; to impair,sǔnhài
加快,to accelerate; to speed up,jiākuài
代价,price; cost; consideration (in share dealing),dàijià
种植,to plant; to grow,zhòngzhí
付出,to pay; to invest (energy or time in a friendship etc),fùchū
所属,one's affiliation (i.e. the organization one is affiliated with); subordinate (i.e. those subordinate to oneself); belonging to; affiliated; under one's command,suǒshǔ
商店,store; shop,shāngdiàn
理念,idea; concept; philosophy; theory,lǐniàn
选民,voter; constituency; electorate,xuǎnmín
不幸,misfortune; adversity; unfortunate; sad; unfortunately,bùxìng
逐步,progressively; step by step,zhúbù
极为,extremely; exceedingly,jíwéi
优先,to have priority; to take precedence,yōuxiān
主权,sovereignty,zhǔquán
否认,to declare to be untrue; to deny,fǒurèn
失踪,to be missing; to disappear; unaccounted for,shīzōng
输出,to export; to output,shūchū
冒险,to take risks; to take chances; foray; adventure,màoxiǎn
遭遇,to meet with; to encounter; (bitter) experience,zāoyù
戏剧,drama; play; theater,xìjù
引进,to recommend; to introduce (from outside),yǐnjìn
通信,to correspond (by letter etc); to communicate; communication,tōngxìn
亲自,personally; in person; oneself,qīnzì
品种,breed; variety,pǐnzhǒng
删除,to delete; to cancel,shānchú
忽视,to neglect; to ignore,hūshì
公告,post; announcement,gōnggào
正面,front; obverse side; right side; positive; direct; open,zhèngmiàn
国防,national defense,guófáng
指定,to appoint; to assign; to indicate clearly and with certainty; designated,zhǐdìng
传递,to transmit; to pass on to sb else; (math.) transitive,chuándì
岛屿,island,dǎoyǔ
都市,city; metropolis,dūshì
查看,to look over; to examine; to check up; to ferret out,chákàn
上涨,to rise; to go up,shàngzhǎng
负担,burden; to bear a burden,fùdān
方针,policy; guidelines,fāngzhēn
陷入,to sink into; to get caught up in; to land in (a predicament),xiànrù
药品,medicaments; medicine; drug,yàopǐn
演讲,lecture; to make a speech,yǎnjiǎng
性别,gender; sex,xìngbié
日前,the other day; a few days ago,rìqián
奖励,to reward; reward (as encouragement),jiǎnglì
再说,to say again; to put off a discussion until later; moreover; what's more; besides,zàishuō
乘客,passenger,chéngkè
机器人,mechanical person; robot; android,jīqìrén
惩罚,penalty; punishment; to punish,chéngfá
今后,hereafter; henceforth; in the future; from now on,jīnhòu
再度,once more; once again; one more time,zàidù
婴儿,infant; baby; lead (Pb),yīngér
似的,seems as if; rather like; Taiwan pr. [si4 de5],shìde
战役,military campaign,zhànyì
活跃,active; lively; excited; to enliven; to brighten up,huóyuè
商人,merchant; businessman,shāngrén
仔细,careful; attentive; cautious,zǐxì
轨道,track (for trains etc); orbit (of a satellite); (fig.) a person's established path in life; desired trajectory (of a business or other endeavor); (audio engineering) track; (quantum mechanics) orbital,guǐdào
曝光,to expose (photography); (fig.) to expose (a scandal); (advertising) exposure; Taiwan pr. [pu4 guang1],bàoguāng
电信,telecommunications,diànxìn
认定,to maintain (that sth is true); to determine (a fact); determination (of an amount); of the firm opinion; to believe firmly; to set one's mind on; to identify with,rèndìng
股权,equity shares; stock right,gǔquán
权益,rights; interests; rights and benefits,quányì
画面,scene; tableau; picture; image; screen (displayed by a computer); (motion picture) frame; field of view,huàmiàn
宣言,declaration; manifesto,xuānyán
除非,"only if (..., or otherwise, ...); only when; only in the case that; unless",chúfēi
整合,to conform; to integrate,zhěnghé
不然,not so; no; or else; otherwise; if not; How about ...?,bùrán
平民,ordinary people; commoner; civilian,píngmín
转向,to change direction; fig. to change one's stance,zhuǎnxiàng
物资,goods; supplies,wùzī
住宅,residence; tenement,zhùzhái
摆脱,to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself,bǎituō
入侵,to invade,rùqīn
近日,in the past few days; recently; in the last few days,jìnrì
边境,frontier; border,biānjìng
工艺,arts and crafts; industrial arts,gōngyì
认同,to approve of; to endorse; to acknowledge; to recognize; to identify oneself with,rèntóng
莫斯科,"Moscow, capital of Russia",mòsīkē
执法,to enforce a law; law enforcement,zhífǎ
无关,unrelated; having nothing to do (with sth else),wúguān
恐怕,fear; to dread; I'm afraid that...; perhaps; maybe,kǒngpà
干嘛,what are you doing?; whatever for?; why on earth?,gànmá
解除,to remove; to sack; to get rid of; to relieve (sb of their duties); to free; to lift (an embargo); to rescind (an agreement),jiěchú
研究所,research institute; graduate studies; graduate school,yánjiūsuǒ
天然,natural,tiānrán
教练,instructor; sports coach; trainer,jiàoliàn
分裂,to split up; to divide; to break up; fission; schism,fēnliè
公寓,apartment building; block of flats,gōngyù
谋杀,to murder; to assassinate; intentional homicide,móushā
封锁,to blockade; to seal off,fēngsuǒ
专题,"specific topic (addressed by a book, lecture, TV program etc); article, report or program etc on a specific topic",zhuāntí
总之,in a word; in short; in brief,zǒngzhī
尸体,dead body; corpse; carcass,shītǐ
幻想,delusion; fantasy,huànxiǎng
世界杯,World Cup,shìjièbēi
迫害,to persecute; persecution,pòhài
纳入,to bring into; to channel into; to integrate into; to incorporate,nàrù
透露,to leak out; to divulge; to reveal,tòulù
皇家,royal; imperial household,huángjiā
强迫,to compel; to force,qiǎngpò
诞生,to be born,dànshēng
平时,ordinarily; in normal times; in peacetime,píngshí
总裁,chairman; director-general (of a company etc),zǒngcái
据说,it is said that; reportedly,jùshuō
认可,to approve; approval; acknowledgment; OK,rènkě
勇气,courage; valor,yǒngqì
一同,along; together,yītóng
得知,to find out; to know; to learn about,dézhī
吸收,to absorb; to assimilate; to ingest; to recruit,xīshōu
形态,shape; form; pattern; morphology,xíngtài
测量,survey; to measure; to gauge; to determine,cèliáng
尽量,as much as possible; to the greatest extent,jǐnliàng
外汇,foreign (currency) exchange,wàihuì
精彩,wonderful; marvelous; brilliant,jīngcǎi
联络,to get in touch with; to contact; to stay in contact (with); liaison; (math.) connection,liánluò
兴建,to build; to construct,xīngjiàn
激动,to move emotionally; to stir up (emotions); to excite,jīdòng
不停,incessant,bùtíng
布局,arrangement; composition; layout; opening (chess jargon),bùjú
焦点,focus; focal point,jiāodiǎn
屠杀,to massacre; massacre; bloodbath; carnage,túshā
青岛,"Qingdao, subprovincial city in Shandong",qīngdǎo
此后,after this; afterwards; hereafter,cǐhòu
效率,efficiency,xiàolǜ
在内,(included) in it; among them,zàinèi
伊拉克,Iraq,yīlākè
杀害,to murder,shāhài
竞选,to take part in an election; to run for office,jìngxuǎn
心灵,bright; smart; quick-witted; heart; thoughts; spirit,xīnlíng
性能,function; performance,xìngnéng
种类,kind; genus; type; category; variety; species; sort; class,zhǒnglèi
文物,cultural relic; historical relic,wénwù
无数,countless; numberless; innumerable,wúshù
依赖,to depend on; to be dependent on,yīlài
如一,N/A,N/A
无人,unmanned; uninhabited,wúrén
转换,to change; to switch; to convert; to transform,zhuǎnhuàn
洛杉矶,"Los Angeles, California",luòshānjī
列为,to be classified as,lièwéi
气氛,atmosphere; mood,qìfēn
事项,matter; item,shìxiàng
创立,to establish; to set up; to found,chuànglì
线路,line; circuit; wire; road; railway track; bus route,xiànlù
遗址,ruins; historic relics,yízhǐ
场景,scene; scenario; setting,chǎngjǐng
总体,completely; totally; total; entire; overall; population (statistics),zǒngtǐ
提名,to nominate,tímíng
无疑,no doubt; undoubtedly,wúyí
农场,farm,nóngchǎng
协定,agreement; accord; to reach an agreement,xiédìng
情感,feeling; emotion; to move (emotionally),qínggǎn
实体,"entity; substance; thing that has a material existence (as opposed to a conceptual, virtual or online existence); the real thing (as opposed to an image or model of it)",shítǐ
遭受,"to suffer; to sustain (loss, misfortune)",zāoshòu
主持人,TV or radio presenter; host; anchor,zhǔchírén
舒服,comfortable; feeling well,shūfu
登陆,to land; to come ashore; to make landfall (of typhoon etc); to log in (frequently used erroneous variant of 登錄|登录[deng1 lu4]),dēnglù
赶紧,hurriedly; without delay,gǎnjǐn
竞赛,race; competition,jìngsài
主办,to organize; to host (a conference or sports event),zhǔbàn
空中,in the sky; in the air,kōngzhōng
各类,all categories,gèlèi
回国,to return to one's home country,huíguó
依靠,to rely on sth (for support etc); to depend on,yīkào
前来,to come (formal); before; previously,qiánlái
争论,to argue; to debate; to contend; argument; contention; controversy; debate,zhēnglùn
太平洋,Pacific Ocean,tàipíngyáng
基层,basic level; grassroots unit; basement layer,jīcéng
口号,slogan; catchphrase,kǒuhào
标题,title; heading; headline; caption; subject,biāotí
辞职,to resign,cízhí
共享,to share; to enjoy together,gòngxiǎng
贵族,lord; nobility; nobleman; noblewoman; aristocrat; aristocracy,guìzú
微博,microblogging; microblog,wēibó
诉讼,lawsuit,sùsòng
社交,interaction; social contact,shèjiāo
骄傲,pride; arrogance; conceited; proud of sth,jiāoào
可靠,reliable,kěkào
从此,from now on; since then; henceforth,cóngcǐ
侵犯,to infringe on; to encroach on; to violate; to assault,qīnfàn
说道,to state; to say (the quoted words),shuōdào
国有,nationalized; public; government owned; state-owned,guóyǒu
性感,sex appeal; eroticism; sexuality; sexy,xìnggǎn
一批,N/A,N/A
当代,the present age; the contemporary era,dāngdài
蓝色,blue (color),lánsè
检验,to inspect; to examine; to test,jiǎnyàn
坦克,tank (military vehicle) (loanword),tǎnkè
赶快,at once; immediately,gǎnkuài
谴责,to denounce; to condemn; to criticize; condemnation; criticism,qiǎnzé
个别,individual; specific; respective; just one or two,gèbié
资助,to subsidize; to provide financial aid; subsidy,zīzhù
遵守,to comply with; to abide by; to respect (an agreement),zūnshǒu
自主,independent; to act for oneself; autonomous,zìzhǔ
当作,to treat as; to regard as,dàngzuò
基本上,basically; on the whole,jīběnshang
截至,up to (a time); by (a time),jiézhì
篮球,basketball,lánqiú
歧视,to discriminate against; discrimination,qíshì
